NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.033342 -0.030814 0.199492 0.036905 -0.050352 0.199634
		0.033911 -0.032641 0.199423 0.037209 -0.051111 0.199601
		0.034487 -0.034492 0.199353 0.037510 -0.051872 0.199569
		0.035066 -0.036356 0.199283 0.037807 -0.052635 0.199537
		0.035646 -0.038227 0.199213 0.038102 -0.053401 0.199505
		0.036228 -0.040101 0.199144 0.038396 -0.054176 0.199474
		0.036810 -0.041976 0.199075 0.038697 -0.054981 0.199443
		0.037392 -0.043852 0.199007 0.038888 -0.055503 0.199412
		0.037974 -0.045727 0.198939 0.038986 -0.055766 0.199382
		0.038556 -0.047603 0.198872 0.039029 -0.055874 0.199352
		0.039138 -0.049479 0.198805 0.039044 -0.055911 0.199323
		0.039720 -0.051355 0.198739 0.039058 -0.055946 0.199294
		0.040302 -0.053231 0.198674 0.039070 -0.055972 0.199266
		0.040672 -0.054418 0.198642 0.039082 -0.055997 0.199239
		0.040841 -0.054942 0.198633 0.039095 -0.056021 0.199212
		0.040901 -0.055143 0.198632 0.039108 -0.056045 0.199187
		0.040926 -0.055233 0.198632 0.039122 -0.056068 0.199164
		0.040939 -0.055285 0.198632 0.039137 -0.056091 0.199149
		0.040948 -0.055321 0.198632 0.039152 -0.056114 0.199129
		0.040956 -0.055357 0.198632 0.039168 -0.056136 0.199123
		0.040961 -0.055388 0.198632 0.039185 -0.056158 0.199121
		0.040966 -0.055420 0.198631 0.039202 -0.056179 0.199119
		0.040969 -0.055451 0.198631 0.039219 -0.056200 0.199117
		0.040972 -0.055483 0.198631 0.039238 -0.056221 0.199115
		0.040973 -0.055515 0.198631 0.039256 -0.056240 0.199113
		0.040973 -0.055546 0.198631 0.039276 -0.056260 0.199111
		0.040972 -0.055577 0.198631 0.039296 -0.056279 0.199109
		0.040972 -0.055607 0.198631 0.039316 -0.056297 0.199106
		0.040969 -0.055638 0.198632 0.039337 -0.056314 0.199104
		0.040965 -0.055669 0.198632 0.039358 -0.056332 0.199101
		0.040961 -0.055700 0.198633 0.039380 -0.056348 0.199098
		0.040956 -0.055731 0.198633 0.039402 -0.056364 0.199096
		0.040949 -0.055761 0.198634 0.039425 -0.056379 0.199093
		0.040942 -0.055792 0.198635 0.039448 -0.056394 0.199090
		0.040934 -0.055822 0.198636 0.039471 -0.056408 0.199087
		0.040925 -0.055852 0.198637 0.039495 -0.056422 0.199084
		0.040914 -0.055882 0.198638 0.039519 -0.056434 0.199081
		0.040903 -0.055911 0.198639 0.039544 -0.056446 0.199077
		0.040891 -0.055940 0.198641 0.039569 -0.056458 0.199074
		0.040878 -0.055969 0.198642 0.039594 -0.056469 0.199071
		0.040865 -0.055997 0.198644 0.039620 -0.056479 0.199067
		0.040850 -0.056024 0.198645 0.039645 -0.056488 0.199064
		0.040835 -0.056052 0.198647 0.039671 -0.056497 0.199061
		0.040818 -0.056078 0.198649 0.039698 -0.056505 0.199057
		0.040801 -0.056104 0.198650 0.039724 -0.056512 0.199053
		0.040783 -0.056130 0.198652 0.039751 -0.056518 0.199050
		0.040764 -0.056155 0.198654 0.039777 -0.056524 0.199046
		0.040745 -0.056180 0.198656 0.039804 -0.056529 0.199042
		0.040725 -0.056203 0.198659 0.039830 -0.056533 0.199039
		0.040704 -0.056227 0.198661 0.039856 -0.056537 0.199035
		0.040682 -0.056249 0.198663 0.039883 -0.056539 0.199032
		0.040659 -0.056271 0.198665 0.039911 -0.056541 0.199028
		0.040636 -0.056292 0.198668 0.039939 -0.056543 0.199024
		0.040613 -0.056312 0.198670 0.039968 -0.056543 0.199020
		0.040588 -0.056332 0.198673 0.039996 -0.056543 0.199016
		0.040563 -0.056351 0.198676 0.040024 -0.056542 0.199013
		0.040538 -0.056369 0.198678 0.040050 -0.056540 0.199009
		0.040512 -0.056386 0.198681 0.040077 -0.056538 0.199006
		0.040485 -0.056403 0.198684 0.040104 -0.056535 0.199002
		0.040458 -0.056418 0.198687 0.040130 -0.056531 0.198998
		0.040426 -0.056435 0.198690 0.040159 -0.056526 0.198994
